Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",139.8880,-117.6340,0.0000,bottom
"C2","10uF","C_0805_2012Metric",139.6275,-124.0200,180.0000,bottom
"C3","10uF","C_0805_2012Metric",138.4845,-115.3840,180.0000,bottom
"C4","100nF","C_0603_1608Metric",141.0880,-114.5340,90.0000,bottom
"C5","1uF","C_0603_1608Metric",143.4580,-116.0460,90.0000,bottom
"C6","100nF","C_0603_1608Metric",145.0580,-116.0460,90.0000,bottom
"C7","47nF","C_0603_1608Metric",154.9400,-121.4120,-90.0000,bottom
"C8","47pF","C_0603_1608Metric",153.4160,-121.4120,-90.0000,bottom
"C9","100nF","C_0603_1608Metric",154.6860,-124.5870,-90.0000,bottom
"C10","3p3","C_0603_1608Metric",160.2580,-119.5460,180.0000,bottom
"C11","10pF","C_0603_1608Metric",149.3520,-122.1740,45.0000,bottom
"C12","39pF","C_0603_1608Metric",163.7398,-119.5324,180.0000,bottom
"C13","-","C_0603_1608Metric",157.7580,-120.4460,-90.0000,bottom
"C14","5p6","C_0603_1608Metric",162.7580,-122.1600,-90.0000,bottom
"C15","2p2","C_0603_1608Metric",168.1480,-119.8880,-90.0000,bottom
"C16","39pF","C_0603_1608Metric",166.1046,-113.0300,180.0000,bottom
"C17","3p3","C_0603_1608Metric",168.9496,-113.9300,90.0000,bottom
"C18","3p3","C_0603_1608Metric",172.7200,-113.7920,90.0000,bottom
"C19","2p4","C_0603_1608Metric",158.5100,-117.0460,180.0000,bottom
"C20","-","C_0603_1608Metric",161.5580,-116.1460,90.0000,bottom
"C21","1p8","C_0603_1608Metric",158.5100,-115.3160,0.0000,bottom
"C22","1nF","C_0603_1608Metric",160.7960,-112.1410,180.0000,bottom
"C23","470nF","C_0603_1608Metric",145.0580,-119.7460,90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",138.0400,-112.5392,180.0000,bottom
"D2","LED GREEN","LED_1206_mill",140.9700,-102.8700,180.0000,bottom
"D3","LED RED","LED_1206_mill",140.9700,-106.1720,180.0000,bottom
"D4","LED RED","LED_1206_mill",140.9700,-109.4740,180.0000,bottom
"J1","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",152.3692,-102.5440,0.0000,bottom
"J2","MCX","MCX",179.3240,-114.3000,180.0000,bottom
"L1","47nH","L_0402_1005Metric",156.2580,-119.8460,90.0000,bottom
"L2","0R","L_0402_1005Metric",154.5580,-119.3460,0.0000,bottom
"L3","2n5","L_0402_1005Metric",160.2580,-121.2460,0.0000,bottom
"L4","4n7","L_0402_1005Metric",166.2176,-119.3800,90.0000,bottom
"L5","9n1","L_0402_1005Metric",170.9496,-113.0300,0.0000,bottom
"L6","15nH","L_0402_1005Metric",155.9700,-116.1460,-90.0000,bottom
"L7","15uH","L_0805_2012Metric",143.1580,-119.3800,90.0000,bottom
"R1","100R","R_0603_1608Metric",149.2250,-107.4420,-90.0000,bottom
"R2","130R","R_0603_1608Metric",144.7800,-104.3940,90.0000,bottom
"R3","100R","R_0603_1608Metric",150.7490,-107.4420,-90.0000,bottom
"R4","100R","R_0603_1608Metric",152.2730,-107.4420,-90.0000,bottom
"R5","100R","R_0603_1608Metric",153.7970,-107.4420,-90.0000,bottom
"R6","100R","R_0603_1608Metric",155.3210,-107.4420,-90.0000,bottom
"R7","10k","R_0603_1608Metric",145.5420,-110.9980,0.0000,bottom
"R8","10k","R_0603_1608Metric",147.9550,-124.3330,135.0000,bottom
"R9","100R","R_0603_1608Metric",163.1695,-110.2360,180.0000,bottom
"R10","100R","R_0603_1608Metric",145.5420,-107.9500,0.0000,bottom
"R11","100R","R_0603_1608Metric",145.5420,-109.4740,0.0000,bottom
"U1","MIC5504-3.3YM5","SOT-23-5",139.8880,-120.7340,-90.0000,bottom
"U2","74LVC1G157","SOT-363_SC-70-6",149.3520,-111.7600,90.0000,bottom
"U3","SX1262","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",149.8580,-117.6460,90.0000,bottom
"U4","PE4259","SOT-363_SC-70-6",165.1000,-115.8860,90.0000,bottom
"U5","ECS-TXO-32CSMV-320-AN-TR","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",151.7650,-124.8410,180.0000,bottom
